                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.134,                  2.225,                 1.8824,                0.00011,                0.02639,                  7e-05,                  2e-05,                 5.3397,                    inf,                 1034.7,               0.070261,              0.0033043,              0.0033043
                      2,                 2.2479,                 2.1595,                  2.044,                0.00443,                0.41425,                0.00262,                0.00068,                 4.0147,                    inf,                 43.257,               0.040239,              0.0066158,              0.0066158
                      3,                 2.1372,                 2.0857,                   1.92,                0.12009,                0.12665,                 0.0418,                0.01457,                 3.1868,                 4.4958,                 3.6572,               0.010195,              0.0099052,              0.0099052
                      4,                 1.9881,                 1.9262,                 1.8113,                0.00418,                  0.219,                0.00278,                0.00117,                 3.1726,                 123.74,                 4.5592,               0.009901,               0.009901,               0.009901
                      5,                 1.8902,                 1.7881,                 1.7346,                0.24613,                0.45829,                0.20921,                0.07269,                 2.3351,                 3.2973,                 2.6634,               0.009901,               0.009901,               0.009901
                      6,                 1.7642,                 1.7218,                 1.6443,                0.31962,                0.43272,                0.26093,                 0.0944,                 2.3555,                 2.2388,                 2.7627,               0.009868,               0.009868,               0.009868
                      7,                 1.7159,                 1.6231,                  1.577,                0.37394,                0.48549,                0.34007,                 0.1161,                 2.1179,                 2.1214,                 2.3743,               0.009835,               0.009835,               0.009835
                      8,                 1.6897,                 1.6031,                 1.5747,                0.35707,                0.43376,                0.30624,                0.11922,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      9,                 1.6779,                 1.5892,                 1.5594,                0.49087,                0.46702,                0.43444,                0.17706,                  1.961,                 2.3556,                 2.2186,               0.009769,               0.009769,               0.009769
                     10,                 1.6859,                 1.5874,                 1.5592,                0.44598,                0.48638,                0.35949,                0.12852,                 2.0753,                 2.0737,                 2.2697,               0.009736,               0.009736,               0.009736
                     11,                 1.6035,                  1.472,                 1.4925,                0.35163,                 0.4934,                0.27308,                0.10033,                 2.1177,                  2.517,                 2.3544,               0.009703,               0.009703,               0.009703
                     12,                  1.582,                  1.449,                 1.4811,                0.46024,                0.41161,                0.33825,                0.13525,                 2.3048,                 2.1651,                 2.4651,                0.00967,                0.00967,                0.00967
                     13,                 1.5291,                   1.46,                 1.4704,                0.54857,                0.52584,                0.49076,                 0.2211,                 1.8019,                  1.737,                 2.0419,               0.009637,               0.009637,               0.009637
                     14,                 1.4992,                 1.4187,                 1.4425,                0.57809,                0.52507,                0.51958,                0.23416,                 1.8441,                 1.7996,                   2.03,               0.009604,               0.009604,               0.009604
                     15,                 1.5386,                 1.4213,                 1.4395,                0.44583,                0.50733,                0.42855,                0.19591,                 1.7695,                 1.7169,                 2.0324,               0.009571,               0.009571,               0.009571
                     16,                 1.4651,                 1.3459,                 1.4107,                0.52265,                0.59631,                0.48597,                0.21576,                 1.8531,                 1.6705,                  2.067,               0.009538,               0.009538,               0.009538
                     17,                 1.4761,                 1.3657,                 1.4175,                0.38882,                0.49015,                0.32067,                0.14242,                  1.884,                 2.0411,                 2.0793,               0.009505,               0.009505,               0.009505
                     18,                 1.4626,                 1.3475,                 1.3997,                0.65233,                0.60398,                0.57231,                0.28534,                 1.6909,                 1.5694,                 1.9962,               0.009472,               0.009472,               0.009472
                     19,                 1.4786,                 1.3948,                 1.4348,                0.56253,                0.53606,                0.49659,                0.23162,                 1.8126,                 1.6572,                 2.0357,               0.009439,               0.009439,               0.009439
                     20,                 1.3856,                 1.3022,                 1.3612,                0.60446,                0.58311,                0.55563,                0.27218,                 1.7234,                 1.6447,                 1.9461,               0.009406,               0.009406,               0.009406
                     21,                 1.4023,                 1.3065,                 1.3703,                0.60058,                0.61478,                0.58558,                0.30025,                 1.6387,                 1.8162,                 1.8482,               0.009373,               0.009373,               0.009373
                     22,                 1.4075,                 1.2953,                  1.381,                0.55594,                0.60686,                0.53407,                0.25048,                 1.6429,                 1.6855,                 1.8494,                0.00934,                0.00934,                0.00934
                     23,                 1.3898,                 1.2795,                 1.3726,                0.46246,                0.60686,                0.47682,                 0.2348,                 1.7107,                 1.6729,                 1.8873,               0.009307,               0.009307,               0.009307
                     24,                 1.3827,                 1.2373,                 1.3888,                0.43016,                 0.5066,                0.40394,                0.19197,                 1.8376,                 1.9265,                 2.0835,               0.009274,               0.009274,               0.009274
                     25,                 1.4004,                 1.2803,                 1.3774,                 0.4849,                0.58311,                0.48797,                0.23363,                 1.7013,                 1.8094,                 1.8547,               0.009241,               0.009241,               0.009241
                     26,                 1.3619,                 1.2756,                 1.3541,                0.39365,                0.57256,                0.32829,                0.15568,                 1.6346,                 1.8934,                  1.844,               0.009208,               0.009208,               0.009208
                     27,                 1.3855,                 1.2744,                  1.376,                0.65152,                0.63325,                 0.6122,                0.31824,                 1.5735,                 1.4621,                 1.7696,               0.009175,               0.009175,               0.009175
                     28,                 1.3575,                 1.2241,                 1.3498,                0.01039,                0.27177,                0.00594,                0.00302,                 2.5006,                 27.964,                 2.9707,               0.009142,               0.009142,               0.009142
                     29,                 1.3574,                 1.1833,                 1.3436,                0.43057,                 0.6438,                0.43277,                0.20097,                 1.5785,                 1.5904,                 1.8232,               0.009109,               0.009109,               0.009109
                     30,                 1.3744,                 1.2028,                 1.3522,                0.66015,                0.61214,                0.59696,                0.31795,                 1.6175,                 1.5368,                 1.8282,               0.009076,               0.009076,               0.009076
                     31,                 1.3903,                 1.2486,                  1.363,                0.59301,                0.41953,                0.42172,                0.21961,                 2.0204,                 1.9106,                 2.2144,               0.009043,               0.009043,               0.009043
                     32,                 1.3842,                 1.2743,                 1.3632,                0.44294,                 0.4723,                0.40674,                0.18612,                 1.6881,                 1.8479,                 1.8967,                0.00901,                0.00901,                0.00901
                     33,                 1.3202,                 1.2124,                 1.3289,                0.61232,                0.61478,                0.58303,                0.29342,                  1.661,                 1.6681,                 1.8742,               0.008977,               0.008977,               0.008977
